0.027,0.041,0.087,0.046,0.073,0.027,0.0,0.064,0.064,0.041,0.123,0.069,0.037,0.05,0.087,0.073,0.0902
0.092,0.051,0.083,0.037,0.078,0.078,0.018,0.032,0.065,0.055,0.157,0.037,0.028,0.028,0.051,0.028,0.0824
0.054,0.073,0.104,0.0,0.127,0.118,0.036,0.041,0.05,0.104,0.063,0.041,0.005,0.027,0.05,0.009,0.0977
0.061,0.047,0.089,0.023,0.065,0.084,0.009,0.065,0.084,0.042,0.131,0.047,0.009,0.047,0.079,0.047,0.0717
0.038,0.033,0.113,0.014,0.061,0.09,0.014,0.08,0.085,0.047,0.146,0.028,0.014,0.076,0.033,0.066,0.0599
0.05,0.05,0.073,0.05,0.095,0.059,0.009,0.059,0.055,0.068,0.095,0.041,0.023,0.045,0.086,0.045,0.0958
0.05,0.027,0.073,0.036,0.073,0.077,0.009,0.063,0.036,0.086,0.113,0.059,0.027,0.032,0.1,0.041,0.0978
0.078,0.032,0.092,0.028,0.055,0.074,0.041,0.041,0.069,0.06,0.11,0.06,0.032,0.041,0.055,0.046,0.0841
0.146,0.027,0.077,0.077,0.05,0.032,0.009,0.041,0.055,0.032,0.023,0.041,0.077,0.041,0.046,0.132,0.0939
0.036,0.041,0.072,0.054,0.063,0.063,0.041,0.054,0.054,0.063,0.072,0.059,0.045,0.054,0.068,0.059,0.101
0.041,0.063,0.068,0.059,0.072,0.036,0.014,0.05,0.068,0.041,0.063,0.059,0.05,0.036,0.081,0.099,0.104
0.023,0.05,0.055,0.05,0.105,0.109,0.014,0.068,0.036,0.064,0.068,0.046,0.014,0.073,0.082,0.05,0.0926
0.128,0.055,0.073,0.059,0.087,0.059,0.005,0.05,0.059,0.041,0.041,0.027,0.041,0.046,0.05,0.087,0.0901
0.145,0.063,0.041,0.045,0.077,0.072,0.027,0.072,0.023,0.068,0.045,0.027,0.05,0.045,0.05,0.05,0.0985
0.082,0.014,0.091,0.055,0.037,0.05,0.0,0.05,0.078,0.055,0.114,0.064,0.046,0.018,0.105,0.05,0.0905
0.095,0.027,0.054,0.068,0.072,0.068,0.005,0.077,0.018,0.05,0.032,0.05,0.063,0.077,0.054,0.09,0.0997
0.077,0.041,0.1,0.059,0.091,0.05,0.009,0.045,0.063,0.054,0.068,0.054,0.045,0.05,0.063,0.032,0.0981
0.069,0.037,0.133,0.023,0.083,0.055,0.009,0.037,0.096,0.073,0.11,0.055,0.014,0.018,0.083,0.018,0.087
0.056,0.023,0.093,0.028,0.056,0.056,0.019,0.065,0.079,0.065,0.135,0.051,0.009,0.051,0.079,0.06,0.0755
0.038,0.033,0.081,0.005,0.047,0.142,0.005,0.123,0.066,0.038,0.1,0.028,0.009,0.1,0.047,0.081,0.0553
0.037,0.041,0.069,0.037,0.073,0.082,0.014,0.105,0.055,0.073,0.055,0.041,0.018,0.073,0.087,0.05,0.0897
0.055,0.046,0.078,0.023,0.06,0.101,0.009,0.083,0.06,0.046,0.064,0.069,0.032,0.055,0.087,0.046,0.0873
0.046,0.055,0.101,0.023,0.083,0.069,0.023,0.051,0.083,0.078,0.124,0.037,0.014,0.028,0.069,0.032,0.0851
0.028,0.046,0.065,0.028,0.074,0.148,0.009,0.083,0.042,0.056,0.093,0.037,0.023,0.06,0.06,0.07,0.0773
0.018,0.06,0.055,0.023,0.078,0.078,0.014,0.088,0.046,0.046,0.115,0.06,0.014,0.069,0.088,0.065,0.0824
0.041,0.05,0.069,0.041,0.082,0.082,0.009,0.105,0.05,0.064,0.041,0.023,0.032,0.082,0.06,0.078,0.0889
0.023,0.032,0.087,0.028,0.05,0.092,0.018,0.083,0.073,0.05,0.092,0.073,0.023,0.064,0.096,0.028,0.0866
0.05,0.046,0.064,0.046,0.059,0.068,0.0,0.068,0.041,0.046,0.105,0.059,0.055,0.036,0.077,0.086,0.0941
0.096,0.05,0.077,0.041,0.082,0.041,0.027,0.064,0.055,0.059,0.055,0.055,0.032,0.064,0.064,0.046,0.0945
0.059,0.036,0.032,0.081,0.045,0.05,0.0,0.063,0.054,0.027,0.063,0.063,0.054,0.045,0.113,0.113,0.0999
0.064,0.064,0.073,0.032,0.059,0.078,0.009,0.078,0.078,0.055,0.059,0.05,0.032,0.027,0.101,0.05,0.0904
0.101,0.032,0.101,0.028,0.051,0.051,0.037,0.041,0.083,0.078,0.12,0.037,0.028,0.018,0.055,0.055,0.0843
0.097,0.041,0.06,0.046,0.055,0.074,0.005,0.083,0.041,0.041,0.046,0.041,0.046,0.065,0.06,0.115,0.0826
0.032,0.087,0.05,0.023,0.114,0.077,0.009,0.077,0.032,0.046,0.1,0.059,0.018,0.064,0.077,0.041,0.093
0.081,0.041,0.054,0.063,0.059,0.063,0.009,0.063,0.041,0.063,0.063,0.041,0.054,0.032,0.081,0.09,0.1026
0.073,0.046,0.091,0.027,0.087,0.091,0.037,0.037,0.055,0.082,0.091,0.037,0.023,0.027,0.05,0.055,0.0911
0.069,0.027,0.073,0.055,0.069,0.087,0.009,0.082,0.05,0.073,0.064,0.037,0.032,0.059,0.078,0.046,0.0909
0.118,0.045,0.09,0.063,0.063,0.036,0.018,0.036,0.086,0.041,0.081,0.05,0.054,0.027,0.068,0.023,0.1005
0.051,0.041,0.069,0.023,0.051,0.092,0.032,0.074,0.069,0.069,0.106,0.055,0.014,0.051,0.087,0.032,0.0851
0.099,0.063,0.054,0.068,0.108,0.05,0.018,0.059,0.036,0.068,0.027,0.027,0.041,0.054,0.054,0.072,0.1038
0.051,0.046,0.078,0.041,0.087,0.092,0.005,0.064,0.055,0.055,0.069,0.046,0.023,0.055,0.069,0.078,0.0858
0.064,0.064,0.064,0.046,0.064,0.064,0.018,0.1,0.073,0.05,0.032,0.037,0.037,0.073,0.073,0.05,0.0917
0.032,0.063,0.045,0.05,0.09,0.09,0.036,0.068,0.032,0.059,0.063,0.05,0.036,0.068,0.063,0.054,0.1033
0.027,0.055,0.087,0.023,0.078,0.069,0.05,0.082,0.082,0.101,0.096,0.014,0.005,0.05,0.064,0.027,0.0898
0.069,0.032,0.083,0.042,0.065,0.101,0.0,0.092,0.069,0.055,0.046,0.046,0.018,0.074,0.088,0.037,0.0822
0.032,0.042,0.07,0.009,0.065,0.13,0.019,0.102,0.046,0.074,0.111,0.037,0.009,0.07,0.07,0.037,0.0765
0.095,0.018,0.073,0.068,0.041,0.045,0.009,0.05,0.041,0.018,0.032,0.073,0.082,0.059,0.05,0.15,0.096
0.063,0.067,0.054,0.054,0.081,0.063,0.013,0.067,0.045,0.054,0.072,0.049,0.049,0.04,0.081,0.04,0.1078
0.046,0.028,0.055,0.032,0.06,0.074,0.014,0.111,0.028,0.06,0.055,0.06,0.023,0.097,0.078,0.097,0.0838
0.051,0.037,0.088,0.042,0.074,0.074,0.009,0.074,0.074,0.046,0.088,0.051,0.014,0.074,0.079,0.046,0.0805
0.05,0.055,0.095,0.009,0.095,0.086,0.036,0.068,0.055,0.1,0.073,0.045,0.005,0.05,0.068,0.014,0.0952
0.18,0.046,0.111,0.037,0.065,0.018,0.009,0.055,0.088,0.046,0.078,0.032,0.042,0.037,0.046,0.028,0.0815
0.046,0.046,0.069,0.018,0.069,0.134,0.032,0.092,0.051,0.088,0.078,0.028,0.014,0.06,0.065,0.028,0.0823
0.018,0.069,0.078,0.009,0.069,0.143,0.028,0.092,0.074,0.074,0.097,0.032,0.014,0.041,0.078,0.0,0.0846
0.037,0.046,0.106,0.023,0.092,0.138,0.009,0.074,0.06,0.097,0.097,0.018,0.018,0.032,0.064,0.005,0.0851
0.037,0.032,0.087,0.023,0.087,0.101,0.009,0.092,0.032,0.078,0.087,0.05,0.023,0.078,0.069,0.027,0.0882
0.018,0.046,0.064,0.023,0.074,0.152,0.046,0.074,0.055,0.087,0.087,0.028,0.005,0.06,0.064,0.032,0.0844
0.037,0.033,0.084,0.009,0.056,0.089,0.023,0.079,0.065,0.075,0.177,0.033,0.005,0.047,0.07,0.047,0.0718
0.041,0.055,0.032,0.036,0.041,0.136,0.059,0.091,0.041,0.073,0.086,0.036,0.041,0.059,0.059,0.018,0.0949
0.023,0.046,0.037,0.028,0.065,0.161,0.009,0.134,0.032,0.06,0.032,0.041,0.018,0.101,0.083,0.046,0.0827
0.033,0.023,0.103,0.019,0.056,0.15,0.014,0.094,0.08,0.066,0.08,0.028,0.009,0.07,0.061,0.047,0.0678
0.045,0.054,0.041,0.059,0.091,0.095,0.009,0.091,0.036,0.073,0.059,0.027,0.027,0.068,0.086,0.041,0.0967
0.067,0.036,0.072,0.058,0.081,0.076,0.004,0.054,0.022,0.058,0.049,0.067,0.063,0.045,0.072,0.067,0.1077
0.055,0.046,0.083,0.028,0.083,0.078,0.009,0.083,0.055,0.064,0.083,0.041,0.018,0.064,0.074,0.051,0.0847
0.041,0.028,0.055,0.018,0.023,0.097,0.005,0.138,0.037,0.064,0.074,0.055,0.037,0.074,0.101,0.069,0.0837
0.009,0.097,0.048,0.018,0.127,0.114,0.11,0.026,0.013,0.136,0.07,0.026,0.022,0.031,0.018,0.009,0.1251
0.073,0.073,0.059,0.055,0.109,0.082,0.0,0.077,0.032,0.036,0.05,0.041,0.045,0.077,0.05,0.045,0.0948
0.027,0.032,0.046,0.059,0.087,0.146,0.023,0.073,0.032,0.064,0.032,0.059,0.014,0.091,0.087,0.036,0.0929
0.085,0.04,0.054,0.058,0.045,0.022,0.031,0.081,0.054,0.067,0.049,0.063,0.049,0.049,0.103,0.04,0.1079
0.064,0.064,0.064,0.032,0.06,0.096,0.032,0.092,0.064,0.06,0.032,0.018,0.037,0.064,0.046,0.087,0.0869
0.014,0.037,0.074,0.019,0.051,0.162,0.019,0.116,0.051,0.074,0.07,0.028,0.032,0.074,0.056,0.046,0.0774
0.018,0.037,0.046,0.037,0.073,0.091,0.023,0.078,0.023,0.059,0.064,0.064,0.023,0.082,0.078,0.114,0.092
0.063,0.049,0.063,0.054,0.094,0.063,0.031,0.054,0.031,0.076,0.04,0.058,0.036,0.054,0.076,0.049,0.1099
0.06,0.032,0.078,0.023,0.046,0.028,0.0,0.092,0.055,0.055,0.101,0.073,0.032,0.051,0.106,0.083,0.0859
0.045,0.041,0.073,0.032,0.064,0.064,0.009,0.077,0.045,0.064,0.073,0.068,0.032,0.045,0.096,0.077,0.0946
0.051,0.023,0.06,0.032,0.046,0.055,0.037,0.088,0.06,0.079,0.097,0.042,0.009,0.069,0.083,0.088,0.0809
0.036,0.032,0.05,0.063,0.072,0.036,0.005,0.077,0.018,0.041,0.072,0.072,0.054,0.081,0.081,0.108,0.1034
0.046,0.046,0.083,0.018,0.074,0.088,0.018,0.083,0.069,0.065,0.088,0.051,0.005,0.06,0.083,0.042,0.0809
0.078,0.046,0.055,0.05,0.073,0.092,0.037,0.055,0.064,0.046,0.05,0.05,0.014,0.073,0.064,0.064,0.0866
0.018,0.032,0.101,0.028,0.083,0.069,0.005,0.087,0.064,0.087,0.105,0.041,0.014,0.06,0.083,0.037,0.0875
0.068,0.086,0.095,0.023,0.095,0.054,0.018,0.068,0.068,0.054,0.032,0.054,0.041,0.036,0.063,0.045,0.1021
0.046,0.041,0.092,0.009,0.078,0.06,0.032,0.069,0.05,0.087,0.115,0.06,0.014,0.055,0.069,0.037,0.0879
0.063,0.041,0.091,0.036,0.068,0.041,0.041,0.059,0.059,0.068,0.086,0.063,0.041,0.054,0.059,0.032,0.0976
0.09,0.059,0.054,0.05,0.05,0.05,0.009,0.09,0.023,0.023,0.023,0.063,0.09,0.072,0.045,0.108,0.1038
0.083,0.051,0.087,0.055,0.083,0.037,0.009,0.051,0.092,0.041,0.083,0.037,0.018,0.055,0.074,0.06,0.0845
0.092,0.037,0.129,0.051,0.032,0.032,0.023,0.041,0.124,0.023,0.092,0.046,0.06,0.032,0.046,0.055,0.0826
