0.023,0.034,0.072,0.038,0.061,0.023,0.0,0.053,0.053,0.034,0.102,0.057,0.03,0.042,0.072,0.061,0.1335,0.1113
0.078,0.043,0.07,0.031,0.066,0.066,0.016,0.027,0.054,0.047,0.132,0.031,0.023,0.023,0.043,0.023,0.1213,0.1072
0.046,0.061,0.087,0.0,0.106,0.099,0.03,0.034,0.042,0.087,0.053,0.034,0.004,0.023,0.042,0.008,0.1376,0.106
0.051,0.04,0.075,0.02,0.055,0.071,0.008,0.055,0.071,0.036,0.111,0.04,0.008,0.04,0.067,0.04,0.1076,0.1043
0.033,0.029,0.099,0.012,0.054,0.078,0.012,0.07,0.074,0.041,0.128,0.025,0.012,0.066,0.029,0.058,0.0924,0.0857
0.041,0.041,0.06,0.041,0.079,0.049,0.008,0.049,0.045,0.056,0.079,0.034,0.019,0.038,0.071,0.038,0.1383,0.1143
0.041,0.022,0.06,0.03,0.06,0.064,0.007,0.052,0.03,0.071,0.094,0.049,0.022,0.026,0.082,0.034,0.1398,0.1142
0.065,0.027,0.077,0.023,0.046,0.061,0.034,0.034,0.057,0.05,0.092,0.05,0.027,0.034,0.046,0.038,0.1219,0.1165
0.119,0.022,0.063,0.063,0.041,0.026,0.007,0.033,0.045,0.026,0.019,0.033,0.063,0.033,0.037,0.108,0.139,0.1219
0.029,0.033,0.059,0.044,0.051,0.051,0.033,0.044,0.044,0.051,0.059,0.048,0.037,0.044,0.055,0.048,0.1431,0.125
0.033,0.052,0.055,0.048,0.059,0.029,0.011,0.041,0.055,0.033,0.052,0.048,0.041,0.029,0.066,0.081,0.1513,0.1156
0.019,0.042,0.045,0.042,0.087,0.091,0.011,0.057,0.03,0.053,0.057,0.038,0.011,0.061,0.068,0.042,0.1342,0.1117
0.105,0.045,0.06,0.049,0.072,0.049,0.004,0.041,0.049,0.034,0.034,0.023,0.034,0.038,0.041,0.072,0.1328,0.1175
0.119,0.052,0.034,0.037,0.063,0.06,0.022,0.06,0.019,0.056,0.037,0.022,0.041,0.037,0.041,0.041,0.1414,0.1163
0.068,0.011,0.076,0.045,0.03,0.042,0.0,0.042,0.064,0.045,0.095,0.053,0.038,0.015,0.087,0.042,0.1329,0.1125
0.078,0.022,0.045,0.056,0.06,0.056,0.004,0.063,0.015,0.041,0.026,0.041,0.052,0.063,0.045,0.074,0.1458,0.1138
0.063,0.033,0.082,0.048,0.074,0.041,0.007,0.037,0.052,0.045,0.056,0.045,0.037,0.041,0.052,0.026,0.142,0.1187
0.058,0.031,0.112,0.019,0.069,0.046,0.008,0.031,0.081,0.062,0.092,0.046,0.012,0.015,0.069,0.015,0.1266,0.1079
0.047,0.02,0.079,0.024,0.047,0.047,0.016,0.055,0.067,0.055,0.115,0.043,0.008,0.043,0.067,0.051,0.112,0.1018
0.033,0.029,0.071,0.004,0.042,0.125,0.004,0.108,0.058,0.033,0.088,0.025,0.008,0.088,0.042,0.071,0.0862,0.0837
0.031,0.034,0.057,0.031,0.061,0.069,0.011,0.088,0.046,0.061,0.046,0.034,0.015,0.061,0.073,0.042,0.1296,0.1087
0.046,0.038,0.065,0.019,0.05,0.084,0.008,0.069,0.05,0.038,0.053,0.057,0.027,0.046,0.072,0.038,0.1283,0.1138
0.038,0.046,0.085,0.019,0.069,0.058,0.019,0.042,0.069,0.065,0.104,0.031,0.012,0.023,0.058,0.027,0.1226,0.113
0.024,0.039,0.055,0.024,0.063,0.126,0.008,0.071,0.035,0.047,0.079,0.031,0.02,0.051,0.051,0.059,0.1151,0.1037
0.015,0.05,0.046,0.019,0.066,0.066,0.012,0.073,0.039,0.039,0.096,0.05,0.012,0.058,0.073,0.054,0.1215,0.1106
0.034,0.042,0.057,0.034,0.069,0.069,0.008,0.088,0.042,0.054,0.034,0.019,0.027,0.069,0.05,0.065,0.1303,0.1077
0.019,0.027,0.074,0.023,0.043,0.078,0.016,0.07,0.062,0.043,0.078,0.062,0.019,0.054,0.081,0.023,0.1288,0.0991
0.042,0.038,0.053,0.038,0.049,0.057,0.0,0.057,0.034,0.038,0.087,0.049,0.045,0.03,0.064,0.072,0.1389,0.1092
0.08,0.042,0.065,0.034,0.068,0.034,0.023,0.053,0.046,0.049,0.046,0.046,0.027,0.053,0.053,0.038,0.1376,0.1067
0.047,0.029,0.026,0.066,0.036,0.04,0.0,0.051,0.044,0.022,0.051,0.051,0.044,0.036,0.091,0.091,0.1461,0.1279
0.053,0.053,0.06,0.026,0.049,0.064,0.008,0.064,0.064,0.045,0.049,0.041,0.026,0.023,0.083,0.041,0.131,0.1199
